 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,000"
07:30;"0,000"
07:45;"0,000"
08:00;"0,000"
08:15;"0,080"
08:30;"0,196"
08:45;"0,612"
09:00;"1,440"
09:15;"1,392"
09:30;"1,476"
09:45;"2,772"
10:00;"2,872"
10:15;"1,596"
10:30;"2,832"
10:45;"2,980"
11:00;"3,040"
11:15;"2,928"
11:30;"2,632"
11:45;"2,492"
12:00;"2,664"
12:15;"1,960"
12:30;"1,332"
12:45;"1,780"
13:00;"1,820"
13:15;"2,096"
13:30;"1,932"
13:45;"1,632"
14:00;"1,400"
14:15;"1,100"
14:30;"0,752"
14:45;"0,780"
15:00;"0,688"
15:15;"0,480"
15:30;"0,464"
15:45;"0,492"
16:00;"0,412"
16:15;"0,388"
16:30;"0,348"
16:45;"0,292"
17:00;"0,240"
17:15;"0,176"
17:30;"0,136"
17:45;"0,140"
18:00;"0,144"
18:15;"0,088"
18:30;"0,040"
18:45;"0,000"
19:00;"0,000"
19:15;"0,000"
19:30;"0,000"
19:45;"0,000"
20:00;"0,000"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
