 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,000"
07:30;"0,000"
07:45;"0,000"
08:00;"0,028"
08:15;"0,232"
08:30;"1,024"
08:45;"1,464"
09:00;"1,536"
09:15;"1,480"
09:30;"1,768"
09:45;"2,328"
10:00;"2,356"
10:15;"2,348"
10:30;"2,304"
10:45;"2,244"
11:00;"2,172"
11:15;"2,064"
11:30;"1,944"
11:45;"1,792"
12:00;"1,620"
12:15;"1,448"
12:30;"1,256"
12:45;"1,072"
13:00;"0,912"
13:15;"0,696"
13:30;"0,636"
13:45;"0,404"
14:00;"0,268"
14:15;"0,232"
14:30;"0,220"
14:45;"0,204"
15:00;"0,192"
15:15;"0,180"
15:30;"0,164"
15:45;"0,128"
16:00;"0,104"
16:15;"0,084"
16:30;"0,048"
16:45;"0,024"
17:00;"0,000"
17:15;"0,000"
17:30;"0,000"
17:45;"0,000"
18:00;"0,000"
18:15;"0,000"
18:30;"0,000"
18:45;"0,000"
19:00;"0,000"
19:15;"0,000"
19:30;"0,000"
19:45;"0,000"
20:00;"0,000"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
