 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,000"
07:30;"0,000"
07:45;"0,000"
08:00;"0,032"
08:15;"0,272"
08:30;"0,980"
08:45;"1,392"
09:00;"1,696"
09:15;"1,632"
09:30;"2,108"
09:45;"2,224"
10:00;"2,672"
10:15;"2,580"
10:30;"3,212"
10:45;"3,236"
11:00;"3,308"
11:15;"2,684"
11:30;"2,864"
11:45;"3,108"
12:00;"2,840"
12:15;"2,572"
12:30;"2,076"
12:45;"2,264"
13:00;"2,124"
13:15;"2,188"
13:30;"2,020"
13:45;"1,920"
14:00;"1,260"
14:15;"1,212"
14:30;"1,068"
14:45;"0,812"
15:00;"0,540"
15:15;"0,416"
15:30;"0,348"
15:45;"0,356"
16:00;"0,356"
16:15;"0,352"
16:30;"0,368"
16:45;"0,364"
17:00;"0,388"
17:15;"0,392"
17:30;"0,344"
17:45;"0,284"
18:00;"0,196"
18:15;"0,124"
18:30;"0,068"
18:45;"0,020"
19:00;"0,000"
19:15;"0,000"
19:30;"0,000"
19:45;"0,000"
20:00;"0,000"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
