 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,008"
07:15;"0,020"
07:30;"0,020"
07:45;"0,000"
08:00;"0,068"
08:15;"0,088"
08:30;"0,080"
08:45;"0,096"
09:00;"0,208"
09:15;"0,672"
09:30;"0,656"
09:45;"0,584"
10:00;"1,228"
10:15;"1,276"
10:30;"0,356"
10:45;"0,664"
11:00;"1,136"
11:15;"0,792"
11:30;"1,208"
11:45;"3,212"
12:00;"1,900"
12:15;"0,888"
12:30;"0,356"
12:45;"0,444"
13:00;"0,324"
13:15;"2,520"
13:30;"2,980"
13:45;"1,048"
14:00;"1,336"
14:15;"1,672"
14:30;"2,432"
14:45;"1,828"
15:00;"2,592"
15:15;"1,884"
15:30;"1,744"
15:45;"0,496"
16:00;"1,040"
16:15;"1,168"
16:30;"0,964"
16:45;"0,460"
17:00;"0,932"
17:15;"0,484"
17:30;"0,412"
17:45;"0,388"
18:00;"0,380"
18:15;"0,352"
18:30;"0,424"
18:45;"0,540"
19:00;"0,352"
19:15;"0,340"
19:30;"0,328"
19:45;"0,284"
20:00;"0,408"
20:15;"0,208"
20:30;"0,124"
20:45;"0,104"
21:00;"0,072"
21:15;"0,040"
21:30;"0,032"
21:45;"0,004"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
