 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,024"
07:15;"0,108"
07:30;"0,236"
07:45;"0,804"
08:00;"1,224"
08:15;"1,568"
08:30;"1,820"
08:45;"2,116"
09:00;"2,480"
09:15;"2,732"
09:30;"3,000"
09:45;"3,192"
10:00;"3,340"
10:15;"3,420"
10:30;"3,516"
10:45;"3,588"
11:00;"3,612"
11:15;"3,620"
11:30;"3,584"
11:45;"3,560"
12:00;"3,540"
12:15;"3,436"
12:30;"3,328"
12:45;"3,204"
13:00;"3,064"
13:15;"2,908"
13:30;"2,780"
13:45;"2,616"
14:00;"2,448"
14:15;"2,240"
14:30;"2,044"
14:45;"1,896"
15:00;"1,676"
15:15;"1,504"
15:30;"1,204"
15:45;"0,876"
16:00;"0,736"
16:15;"0,684"
16:30;"0,652"
16:45;"0,696"
17:00;"0,740"
17:15;"0,788"
17:30;"0,692"
17:45;"0,480"
18:00;"0,388"
18:15;"0,348"
18:30;"0,316"
18:45;"0,280"
19:00;"0,260"
19:15;"0,236"
19:30;"0,208"
19:45;"0,164"
20:00;"0,116"
20:15;"0,056"
20:30;"0,016"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
