 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,008"
06:45;"0,076"
07:00;"0,280"
07:15;"0,916"
07:30;"0,964"
07:45;"1,564"
08:00;"1,496"
08:15;"2,836"
08:30;"3,776"
08:45;"3,800"
09:00;"3,896"
09:15;"4,192"
09:30;"4,152"
09:45;"4,192"
10:00;"4,416"
10:15;"1,644"
10:30;"2,536"
10:45;"1,396"
11:00;"1,500"
11:15;"1,784"
11:30;"1,796"
11:45;"1,512"
12:00;"3,324"
12:15;"4,228"
12:30;"4,228"
12:45;"4,092"
13:00;"2,680"
13:15;"3,740"
13:30;"2,348"
13:45;"2,508"
14:00;"2,524"
14:15;"2,200"
14:30;"2,060"
14:45;"1,780"
15:00;"0,976"
15:15;"1,440"
15:30;"1,500"
15:45;"0,988"
16:00;"1,068"
16:15;"1,048"
16:30;"1,060"
16:45;"0,896"
17:00;"0,904"
17:15;"0,824"
17:30;"0,860"
17:45;"0,808"
18:00;"0,720"
18:15;"0,820"
18:30;"0,696"
18:45;"0,620"
19:00;"0,460"
19:15;"0,380"
19:30;"0,348"
19:45;"0,300"
20:00;"0,180"
20:15;"0,076"
20:30;"0,020"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
