 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,012"
06:00;"0,064"
06:15;"0,204"
06:30;"0,684"
06:45;"1,464"
07:00;"2,000"
07:15;"2,464"
07:30;"2,796"
07:45;"3,052"
08:00;"3,260"
08:15;"3,092"
08:30;"2,404"
08:45;"1,432"
09:00;"2,320"
09:15;"3,656"
09:30;"1,692"
09:45;"1,368"
10:00;"4,624"
10:15;"1,844"
10:30;"3,316"
10:45;"1,288"
11:00;"2,164"
11:15;"1,072"
11:30;"2,876"
11:45;"2,428"
12:00;"3,856"
12:15;"4,340"
12:30;"4,168"
12:45;"2,936"
13:00;"2,592"
13:15;"3,776"
13:30;"2,796"
13:45;"1,828"
14:00;"3,296"
14:15;"3,552"
14:30;"1,996"
14:45;"1,944"
15:00;"2,096"
15:15;"1,924"
15:30;"1,452"
15:45;"1,728"
16:00;"1,192"
16:15;"1,368"
16:30;"1,188"
16:45;"1,172"
17:00;"1,028"
17:15;"0,948"
17:30;"0,852"
17:45;"0,772"
18:00;"0,700"
18:15;"0,652"
18:30;"0,656"
18:45;"0,704"
19:00;"0,616"
19:15;"0,560"
19:30;"0,464"
19:45;"0,272"
20:00;"0,212"
20:15;"0,196"
20:30;"0,164"
20:45;"0,120"
21:00;"0,088"
21:15;"0,048"
21:30;"0,032"
21:45;"0,008"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
