 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,024"
07:30;"0,040"
07:45;"0,180"
08:00;"0,188"
08:15;"0,284"
08:30;"0,612"
08:45;"0,664"
09:00;"0,256"
09:15;"0,848"
09:30;"0,756"
09:45;"0,716"
10:00;"0,476"
10:15;"0,624"
10:30;"0,544"
10:45;"0,540"
11:00;"0,584"
11:15;"1,072"
11:30;"0,992"
11:45;"0,588"
12:00;"0,436"
12:15;"1,424"
12:30;"1,668"
12:45;"1,700"
13:00;"1,228"
13:15;"1,560"
13:30;"1,416"
13:45;"1,920"
14:00;"1,540"
14:15;"1,608"
14:30;"1,636"
14:45;"1,368"
15:00;"1,944"
15:15;"1,576"
15:30;"1,092"
15:45;"0,968"
16:00;"0,928"
16:15;"1,212"
16:30;"0,772"
16:45;"0,704"
17:00;"0,648"
17:15;"0,728"
17:30;"0,636"
17:45;"0,584"
18:00;"0,588"
18:15;"0,592"
18:30;"0,476"
18:45;"0,364"
19:00;"0,276"
19:15;"0,264"
19:30;"0,356"
19:45;"0,156"
20:00;"0,112"
20:15;"0,064"
20:30;"0,032"
20:45;"0,012"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
