 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,000"
07:30;"0,000"
07:45;"0,028"
08:00;"0,180"
08:15;"0,744"
08:30;"1,852"
08:45;"2,180"
09:00;"2,016"
09:15;"2,316"
09:30;"2,224"
09:45;"2,952"
10:00;"3,164"
10:15;"3,208"
10:30;"3,144"
10:45;"3,000"
11:00;"2,600"
11:15;"2,692"
11:30;"3,120"
11:45;"2,212"
12:00;"2,848"
12:15;"2,408"
12:30;"2,116"
12:45;"1,660"
13:00;"2,584"
13:15;"2,172"
13:30;"1,644"
13:45;"1,672"
14:00;"1,944"
14:15;"2,012"
14:30;"1,652"
14:45;"1,240"
15:00;"0,956"
15:15;"0,620"
15:30;"0,464"
15:45;"0,372"
16:00;"0,332"
16:15;"0,328"
16:30;"0,336"
16:45;"0,320"
17:00;"0,316"
17:15;"0,364"
17:30;"0,280"
17:45;"0,248"
18:00;"0,236"
18:15;"0,232"
18:30;"0,168"
18:45;"0,128"
19:00;"0,092"
19:15;"0,040"
19:30;"0,012"
19:45;"0,000"
20:00;"0,000"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
