 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,044"
06:30;"0,176"
06:45;"0,268"
07:00;"0,324"
07:15;"0,588"
07:30;"0,896"
07:45;"2,120"
08:00;"2,760"
08:15;"3,364"
08:30;"3,320"
08:45;"3,500"
09:00;"3,916"
09:15;"3,824"
09:30;"4,120"
09:45;"4,112"
10:00;"4,372"
10:15;"4,456"
10:30;"4,436"
10:45;"4,228"
11:00;"4,508"
11:15;"4,256"
11:30;"4,356"
11:45;"4,264"
12:00;"3,688"
12:15;"3,352"
12:30;"3,660"
12:45;"4,084"
13:00;"3,680"
13:15;"3,608"
13:30;"3,460"
13:45;"3,236"
14:00;"2,920"
14:15;"2,872"
14:30;"2,632"
14:45;"2,412"
15:00;"2,176"
15:15;"1,900"
15:30;"1,588"
15:45;"1,296"
16:00;"1,016"
16:15;"0,732"
16:30;"0,552"
16:45;"0,440"
17:00;"0,364"
17:15;"0,316"
17:30;"0,304"
17:45;"0,288"
18:00;"0,276"
18:15;"0,264"
18:30;"0,256"
18:45;"0,252"
19:00;"0,236"
19:15;"0,224"
19:30;"0,212"
19:45;"0,188"
20:00;"0,168"
20:15;"0,148"
20:30;"0,116"
20:45;"0,084"
21:00;"0,056"
21:15;"0,036"
21:30;"0,012"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
