 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,000"
07:30;"0,000"
07:45;"0,000"
08:00;"0,000"
08:15;"0,000"
08:30;"0,004"
08:45;"0,044"
09:00;"0,088"
09:15;"0,096"
09:30;"0,172"
09:45;"0,264"
10:00;"0,396"
10:15;"0,476"
10:30;"0,688"
10:45;"0,708"
11:00;"0,828"
11:15;"1,152"
11:30;"2,400"
11:45;"2,636"
12:00;"2,540"
12:15;"2,568"
12:30;"2,312"
12:45;"2,156"
13:00;"2,016"
13:15;"1,868"
13:30;"1,648"
13:45;"1,452"
14:00;"1,256"
14:15;"0,976"
14:30;"0,756"
14:45;"0,564"
15:00;"0,584"
15:15;"0,704"
15:30;"0,660"
15:45;"0,460"
16:00;"0,436"
16:15;"0,492"
16:30;"0,332"
16:45;"0,300"
17:00;"0,292"
17:15;"0,228"
17:30;"0,116"
17:45;"0,080"
18:00;"0,052"
18:15;"0,028"
18:30;"0,004"
18:45;"0,000"
19:00;"0,000"
19:15;"0,000"
19:30;"0,000"
19:45;"0,000"
20:00;"0,000"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
