 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,000"
07:30;"0,000"
07:45;"0,000"
08:00;"0,000"
08:15;"0,000"
08:30;"0,000"
08:45;"0,008"
09:00;"0,028"
09:15;"0,044"
09:30;"0,028"
09:45;"0,072"
10:00;"0,152"
10:15;"0,124"
10:30;"0,312"
10:45;"0,524"
11:00;"0,928"
11:15;"0,792"
11:30;"0,796"
11:45;"1,148"
12:00;"1,320"
12:15;"0,700"
12:30;"0,592"
12:45;"0,592"
13:00;"0,340"
13:15;"0,344"
13:30;"0,280"
13:45;"0,412"
14:00;"0,300"
14:15;"0,328"
14:30;"0,584"
14:45;"0,696"
15:00;"0,600"
15:15;"0,396"
15:30;"0,436"
15:45;"0,432"
16:00;"0,384"
16:15;"0,200"
16:30;"0,196"
16:45;"0,180"
17:00;"0,096"
17:15;"0,020"
17:30;"0,024"
17:45;"0,004"
18:00;"0,000"
18:15;"0,000"
18:30;"0,000"
18:45;"0,000"
19:00;"0,000"
19:15;"0,000"
19:30;"0,000"
19:45;"0,000"
20:00;"0,000"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
