 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,000"
07:30;"0,000"
07:45;"0,044"
08:00;"0,392"
08:15;"1,092"
08:30;"1,864"
08:45;"2,364"
09:00;"2,616"
09:15;"2,736"
09:30;"2,864"
09:45;"2,948"
10:00;"3,028"
10:15;"3,080"
10:30;"3,096"
10:45;"3,000"
11:00;"2,956"
11:15;"2,908"
11:30;"2,804"
11:45;"2,680"
12:00;"2,532"
12:15;"2,364"
12:30;"2,192"
12:45;"1,996"
13:00;"1,780"
13:15;"1,548"
13:30;"1,316"
13:45;"1,064"
14:00;"0,764"
14:15;"0,508"
14:30;"0,360"
14:45;"0,336"
15:00;"0,308"
15:15;"0,288"
15:30;"0,264"
15:45;"0,236"
16:00;"0,220"
16:15;"0,200"
16:30;"0,180"
16:45;"0,152"
17:00;"0,132"
17:15;"0,112"
17:30;"0,080"
17:45;"0,052"
18:00;"0,024"
18:15;"0,000"
18:30;"0,000"
18:45;"0,000"
19:00;"0,000"
19:15;"0,000"
19:30;"0,000"
19:45;"0,000"
20:00;"0,000"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
