 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,036"
07:00;"0,156"
07:15;"0,304"
07:30;"0,772"
07:45;"1,612"
08:00;"2,024"
08:15;"2,412"
08:30;"2,808"
08:45;"3,132"
09:00;"3,368"
09:15;"3,652"
09:30;"3,796"
09:45;"3,984"
10:00;"3,828"
10:15;"3,860"
10:30;"3,708"
10:45;"3,784"
11:00;"3,428"
11:15;"4,480"
11:30;"4,280"
11:45;"3,500"
12:00;"2,448"
12:15;"3,024"
12:30;"3,696"
12:45;"2,844"
13:00;"3,868"
13:15;"2,028"
13:30;"3,148"
13:45;"3,272"
14:00;"2,580"
14:15;"2,624"
14:30;"2,512"
14:45;"1,232"
15:00;"1,892"
15:15;"0,860"
15:30;"1,532"
15:45;"1,184"
16:00;"1,336"
16:15;"0,824"
16:30;"0,492"
16:45;"0,504"
17:00;"0,608"
17:15;"0,928"
17:30;"0,704"
17:45;"0,576"
18:00;"0,512"
18:15;"0,588"
18:30;"0,564"
18:45;"0,568"
19:00;"0,328"
19:15;"0,204"
19:30;"0,248"
19:45;"0,160"
20:00;"0,104"
20:15;"0,060"
20:30;"0,032"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
