 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,016"
07:30;"0,280"
07:45;"1,680"
08:00;"2,368"
08:15;"1,488"
08:30;"0,932"
08:45;"1,428"
09:00;"3,512"
09:15;"3,692"
09:30;"3,800"
09:45;"3,824"
10:00;"3,848"
10:15;"3,832"
10:30;"3,668"
10:45;"3,736"
11:00;"3,648"
11:15;"3,376"
11:30;"3,388"
11:45;"3,344"
12:00;"2,784"
12:15;"3,356"
12:30;"2,028"
12:45;"1,620"
13:00;"1,472"
13:15;"1,708"
13:30;"1,576"
13:45;"1,336"
14:00;"1,360"
14:15;"1,176"
14:30;"1,116"
14:45;"1,172"
15:00;"1,096"
15:15;"1,012"
15:30;"0,968"
15:45;"0,896"
16:00;"0,744"
16:15;"0,564"
16:30;"0,504"
16:45;"0,448"
17:00;"0,276"
17:15;"0,220"
17:30;"0,176"
17:45;"0,160"
18:00;"0,124"
18:15;"0,068"
18:30;"0,024"
18:45;"0,000"
19:00;"0,000"
19:15;"0,000"
19:30;"0,000"
19:45;"0,000"
20:00;"0,000"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
