 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,020"
07:15;"0,048"
07:30;"0,100"
07:45;"0,112"
08:00;"0,160"
08:15;"0,108"
08:30;"0,336"
08:45;"0,256"
09:00;"0,180"
09:15;"0,308"
09:30;"0,316"
09:45;"0,268"
10:00;"0,264"
10:15;"0,352"
10:30;"0,444"
10:45;"0,404"
11:00;"0,392"
11:15;"0,376"
11:30;"0,528"
11:45;"0,624"
12:00;"0,684"
12:15;"0,644"
12:30;"1,036"
12:45;"0,864"
13:00;"0,864"
13:15;"1,580"
13:30;"0,988"
13:45;"1,184"
14:00;"0,844"
14:15;"0,624"
14:30;"0,888"
14:45;"0,896"
15:00;"0,592"
15:15;"0,660"
15:30;"0,780"
15:45;"0,956"
16:00;"0,836"
16:15;"0,940"
16:30;"0,496"
16:45;"0,432"
17:00;"0,624"
17:15;"0,428"
17:30;"0,280"
17:45;"0,264"
18:00;"0,636"
18:15;"0,448"
18:30;"0,208"
18:45;"0,208"
19:00;"0,268"
19:15;"0,168"
19:30;"0,240"
19:45;"0,096"
20:00;"0,028"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
