 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,004"
07:30;"0,004"
07:45;"0,016"
08:00;"0,032"
08:15;"0,044"
08:30;"0,100"
08:45;"0,096"
09:00;"0,120"
09:15;"0,128"
09:30;"0,164"
09:45;"0,220"
10:00;"0,112"
10:15;"0,080"
10:30;"0,080"
10:45;"0,076"
11:00;"0,088"
11:15;"0,108"
11:30;"0,132"
11:45;"0,180"
12:00;"0,212"
12:15;"0,300"
12:30;"0,328"
12:45;"0,264"
13:00;"0,268"
13:15;"0,264"
13:30;"0,220"
13:45;"0,296"
14:00;"0,304"
14:15;"0,488"
14:30;"0,372"
14:45;"0,416"
15:00;"0,328"
15:15;"0,340"
15:30;"0,684"
15:45;"0,428"
16:00;"0,148"
16:15;"0,172"
16:30;"0,192"
16:45;"0,268"
17:00;"0,328"
17:15;"0,168"
17:30;"0,144"
17:45;"0,152"
18:00;"0,220"
18:15;"0,204"
18:30;"0,128"
18:45;"0,124"
19:00;"0,112"
19:15;"0,132"
19:30;"0,080"
19:45;"0,040"
20:00;"0,024"
20:15;"0,032"
20:30;"0,040"
20:45;"0,040"
21:00;"0,020"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
