 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,016"
06:15;"0,072"
06:30;"0,140"
06:45;"0,208"
07:00;"0,348"
07:15;"0,460"
07:30;"0,684"
07:45;"0,956"
08:00;"1,288"
08:15;"1,680"
08:30;"1,136"
08:45;"3,224"
09:00;"2,900"
09:15;"3,936"
09:30;"4,180"
09:45;"4,188"
10:00;"4,520"
10:15;"4,656"
10:30;"4,212"
10:45;"4,092"
11:00;"2,748"
11:15;"1,460"
11:30;"2,180"
11:45;"2,184"
12:00;"3,012"
12:15;"2,756"
12:30;"3,340"
12:45;"3,176"
13:00;"2,272"
13:15;"1,816"
13:30;"2,192"
13:45;"2,180"
14:00;"1,860"
14:15;"1,796"
14:30;"1,056"
14:45;"1,272"
15:00;"0,944"
15:15;"1,108"
15:30;"1,540"
15:45;"1,396"
16:00;"1,372"
16:15;"1,364"
16:30;"1,024"
16:45;"0,880"
17:00;"1,228"
17:15;"1,148"
17:30;"0,668"
17:45;"0,516"
18:00;"0,624"
18:15;"0,544"
18:30;"0,324"
18:45;"0,232"
19:00;"0,180"
19:15;"0,192"
19:30;"0,204"
19:45;"0,176"
20:00;"0,116"
20:15;"0,040"
20:30;"0,140"
20:45;"0,080"
21:00;"0,040"
21:15;"0,012"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
