 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,012"
06:30;"0,072"
06:45;"0,164"
07:00;"0,496"
07:15;"1,496"
07:30;"2,124"
07:45;"2,540"
08:00;"2,884"
08:15;"3,136"
08:30;"3,396"
08:45;"3,596"
09:00;"3,776"
09:15;"3,912"
09:30;"4,072"
09:45;"4,180"
10:00;"4,268"
10:15;"4,336"
10:30;"4,376"
10:45;"4,372"
11:00;"4,368"
11:15;"4,360"
11:30;"4,332"
11:45;"4,304"
12:00;"3,800"
12:15;"4,148"
12:30;"4,188"
12:45;"1,956"
13:00;"2,744"
13:15;"3,720"
13:30;"3,648"
13:45;"2,948"
14:00;"3,260"
14:15;"2,640"
14:30;"1,036"
14:45;"1,356"
15:00;"1,968"
15:15;"2,256"
15:30;"1,628"
15:45;"1,716"
16:00;"0,964"
16:15;"0,704"
16:30;"0,564"
16:45;"0,500"
17:00;"0,492"
17:15;"0,404"
17:30;"0,312"
17:45;"0,304"
18:00;"0,316"
18:15;"0,368"
18:30;"0,352"
18:45;"0,340"
19:00;"0,304"
19:15;"0,260"
19:30;"0,220"
19:45;"0,176"
20:00;"0,152"
20:15;"0,140"
20:30;"0,108"
20:45;"0,072"
21:00;"0,044"
21:15;"0,016"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
