 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,048"
07:00;"0,124"
07:15;"0,208"
07:30;"0,348"
07:45;"0,676"
08:00;"0,792"
08:15;"1,088"
08:30;"2,800"
08:45;"3,408"
09:00;"3,636"
09:15;"3,820"
09:30;"4,016"
09:45;"3,916"
10:00;"3,748"
10:15;"2,148"
10:30;"3,144"
10:45;"3,220"
11:00;"3,200"
11:15;"3,856"
11:30;"4,008"
11:45;"3,148"
12:00;"2,240"
12:15;"1,568"
12:30;"3,996"
12:45;"3,344"
13:00;"3,756"
13:15;"3,280"
13:30;"3,580"
13:45;"3,400"
14:00;"2,496"
14:15;"3,280"
14:30;"2,740"
14:45;"2,864"
15:00;"2,852"
15:15;"2,300"
15:30;"1,736"
15:45;"1,804"
16:00;"1,224"
16:15;"1,356"
16:30;"0,952"
16:45;"0,868"
17:00;"0,820"
17:15;"0,812"
17:30;"0,728"
17:45;"0,620"
18:00;"0,520"
18:15;"0,548"
18:30;"0,540"
18:45;"0,580"
19:00;"0,516"
19:15;"0,284"
19:30;"0,288"
19:45;"0,300"
20:00;"0,368"
20:15;"0,340"
20:30;"0,196"
20:45;"0,092"
21:00;"0,048"
21:15;"0,008"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
