 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,000"
07:30;"0,000"
07:45;"0,000"
08:00;"0,000"
08:15;"0,036"
08:30;"0,284"
08:45;"0,912"
09:00;"0,840"
09:15;"1,300"
09:30;"2,332"
09:45;"1,508"
10:00;"1,756"
10:15;"1,008"
10:30;"0,964"
10:45;"1,716"
11:00;"2,244"
11:15;"1,816"
11:30;"1,648"
11:45;"1,356"
12:00;"1,636"
12:15;"1,672"
12:30;"1,592"
12:45;"1,752"
13:00;"1,592"
13:15;"1,276"
13:30;"1,120"
13:45;"1,040"
14:00;"0,924"
14:15;"0,864"
14:30;"0,772"
14:45;"0,720"
15:00;"0,664"
15:15;"0,652"
15:30;"0,592"
15:45;"0,516"
16:00;"0,440"
16:15;"0,376"
16:30;"0,328"
16:45;"0,232"
17:00;"0,164"
17:15;"0,116"
17:30;"0,060"
17:45;"0,012"
18:00;"0,000"
18:15;"0,000"
18:30;"0,000"
18:45;"0,000"
19:00;"0,000"
19:15;"0,000"
19:30;"0,000"
19:45;"0,000"
20:00;"0,000"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
