 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,000"
07:30;"0,000"
07:45;"0,000"
08:00;"0,000"
08:15;"0,020"
08:30;"0,088"
08:45;"1,228"
09:00;"1,664"
09:15;"0,976"
09:30;"1,864"
09:45;"2,400"
10:00;"2,364"
10:15;"2,596"
10:30;"2,596"
10:45;"2,424"
11:00;"2,256"
11:15;"2,692"
11:30;"2,840"
11:45;"1,732"
12:00;"1,272"
12:15;"1,028"
12:30;"1,060"
12:45;"1,328"
13:00;"1,236"
13:15;"1,216"
13:30;"0,640"
13:45;"0,760"
14:00;"1,108"
14:15;"0,928"
14:30;"0,716"
14:45;"0,728"
15:00;"0,540"
15:15;"0,608"
15:30;"0,552"
15:45;"0,428"
16:00;"0,312"
16:15;"0,384"
16:30;"0,188"
16:45;"0,176"
17:00;"0,084"
17:15;"0,044"
17:30;"0,044"
17:45;"0,016"
18:00;"0,000"
18:15;"0,000"
18:30;"0,000"
18:45;"0,000"
19:00;"0,000"
19:15;"0,000"
19:30;"0,000"
19:45;"0,000"
20:00;"0,000"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
