 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,000"
07:30;"0,000"
07:45;"0,032"
08:00;"0,368"
08:15;"1,500"
08:30;"2,056"
08:45;"2,472"
09:00;"2,796"
09:15;"3,084"
09:30;"3,280"
09:45;"3,432"
10:00;"3,560"
10:15;"3,656"
10:30;"3,676"
10:45;"3,692"
11:00;"3,692"
11:15;"3,640"
11:30;"3,580"
11:45;"3,512"
12:00;"3,448"
12:15;"3,288"
12:30;"3,240"
12:45;"3,200"
13:00;"3,132"
13:15;"2,864"
13:30;"2,720"
13:45;"2,540"
14:00;"2,292"
14:15;"2,004"
14:30;"1,784"
14:45;"1,468"
15:00;"0,948"
15:15;"0,736"
15:30;"0,652"
15:45;"0,764"
16:00;"0,632"
16:15;"0,532"
16:30;"0,476"
16:45;"0,420"
17:00;"0,424"
17:15;"0,508"
17:30;"0,468"
17:45;"0,316"
18:00;"0,192"
18:15;"0,116"
18:30;"0,120"
18:45;"0,088"
19:00;"0,060"
19:15;"0,028"
19:30;"0,000"
19:45;"0,000"
20:00;"0,000"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
