 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,008"
07:00;"0,076"
07:15;"0,168"
07:30;"0,396"
07:45;"1,832"
08:00;"2,264"
08:15;"2,632"
08:30;"2,948"
08:45;"3,216"
09:00;"3,444"
09:15;"3,632"
09:30;"3,760"
09:45;"3,868"
10:00;"3,964"
10:15;"4,036"
10:30;"4,068"
10:45;"4,104"
11:00;"4,120"
11:15;"4,112"
11:30;"4,044"
11:45;"3,976"
12:00;"3,920"
12:15;"3,820"
12:30;"3,716"
12:45;"3,564"
13:00;"3,460"
13:15;"3,276"
13:30;"3,128"
13:45;"2,944"
14:00;"2,760"
14:15;"2,516"
14:30;"2,308"
14:45;"2,076"
15:00;"1,784"
15:15;"1,456"
15:30;"1,208"
15:45;"0,864"
16:00;"0,552"
16:15;"0,448"
16:30;"0,412"
16:45;"0,368"
17:00;"0,356"
17:15;"0,348"
17:30;"0,332"
17:45;"0,316"
18:00;"0,304"
18:15;"0,280"
18:30;"0,268"
18:45;"0,236"
19:00;"0,208"
19:15;"0,188"
19:30;"0,168"
19:45;"0,128"
20:00;"0,088"
20:15;"0,048"
20:30;"0,024"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
