 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,000"
07:30;"0,000"
07:45;"0,000"
08:00;"0,020"
08:15;"0,108"
08:30;"0,180"
08:45;"0,508"
09:00;"0,596"
09:15;"0,728"
09:30;"1,140"
09:45;"2,008"
10:00;"2,140"
10:15;"2,252"
10:30;"2,288"
10:45;"2,324"
11:00;"2,192"
11:15;"2,108"
11:30;"1,968"
11:45;"1,604"
12:00;"1,332"
12:15;"1,652"
12:30;"1,328"
12:45;"1,104"
13:00;"0,892"
13:15;"0,696"
13:30;"0,608"
13:45;"0,492"
14:00;"0,396"
14:15;"0,488"
14:30;"0,484"
14:45;"0,332"
15:00;"0,336"
15:15;"0,312"
15:30;"0,380"
15:45;"0,276"
16:00;"0,200"
16:15;"0,148"
16:30;"0,092"
16:45;"0,032"
17:00;"0,000"
17:15;"0,000"
17:30;"0,000"
17:45;"0,000"
18:00;"0,000"
18:15;"0,000"
18:30;"0,000"
18:45;"0,000"
19:00;"0,000"
19:15;"0,000"
19:30;"0,000"
19:45;"0,000"
20:00;"0,000"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
