 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,000"
07:30;"0,024"
07:45;"0,152"
08:00;"1,068"
08:15;"1,736"
08:30;"2,240"
08:45;"2,556"
09:00;"2,948"
09:15;"2,988"
09:30;"2,812"
09:45;"3,428"
10:00;"3,488"
10:15;"3,872"
10:30;"4,096"
10:45;"4,108"
11:00;"4,208"
11:15;"4,204"
11:30;"4,168"
11:45;"3,740"
12:00;"3,332"
12:15;"3,852"
12:30;"3,724"
12:45;"3,496"
13:00;"3,524"
13:15;"2,876"
13:30;"1,652"
13:45;"3,152"
14:00;"2,896"
14:15;"1,320"
14:30;"1,380"
14:45;"1,356"
15:00;"1,868"
15:15;"1,588"
15:30;"0,996"
15:45;"1,132"
16:00;"1,108"
16:15;"0,916"
16:30;"1,024"
16:45;"1,068"
17:00;"1,008"
17:15;"0,640"
17:30;"0,684"
17:45;"0,684"
18:00;"0,480"
18:15;"0,416"
18:30;"0,192"
18:45;"0,104"
19:00;"0,088"
19:15;"0,060"
19:30;"0,004"
19:45;"0,000"
20:00;"0,000"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
