 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,004"
06:00;"0,032"
06:15;"0,076"
06:30;"0,176"
06:45;"1,008"
07:00;"1,736"
07:15;"2,232"
07:30;"2,608"
07:45;"2,908"
08:00;"3,192"
08:15;"3,372"
08:30;"3,536"
08:45;"3,792"
09:00;"3,908"
09:15;"2,516"
09:30;"3,856"
09:45;"3,228"
10:00;"3,144"
10:15;"3,264"
10:30;"3,540"
10:45;"3,864"
11:00;"3,252"
11:15;"4,244"
11:30;"4,508"
11:45;"4,268"
12:00;"3,300"
12:15;"4,228"
12:30;"3,328"
12:45;"1,956"
13:00;"2,320"
13:15;"1,852"
13:30;"3,032"
13:45;"2,108"
14:00;"2,260"
14:15;"2,708"
14:30;"2,464"
14:45;"2,760"
15:00;"1,960"
15:15;"2,244"
15:30;"2,132"
15:45;"1,500"
16:00;"1,276"
16:15;"0,988"
16:30;"0,908"
16:45;"0,916"
17:00;"0,796"
17:15;"0,620"
17:30;"0,572"
17:45;"0,556"
18:00;"0,516"
18:15;"0,436"
18:30;"0,404"
18:45;"0,308"
19:00;"0,284"
19:15;"0,264"
19:30;"0,232"
19:45;"0,216"
20:00;"0,196"
20:15;"0,176"
20:30;"0,140"
20:45;"0,160"
21:00;"0,164"
21:15;"0,064"
21:30;"0,032"
21:45;"0,008"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
