 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,000"
07:30;"0,000"
07:45;"0,000"
08:00;"0,000"
08:15;"0,032"
08:30;"0,388"
08:45;"0,512"
09:00;"1,304"
09:15;"1,480"
09:30;"2,148"
09:45;"2,476"
10:00;"2,700"
10:15;"2,812"
10:30;"2,896"
10:45;"2,964"
11:00;"2,980"
11:15;"2,896"
11:30;"2,924"
11:45;"2,492"
12:00;"2,572"
12:15;"2,108"
12:30;"2,624"
12:45;"2,128"
13:00;"2,244"
13:15;"1,544"
13:30;"1,712"
13:45;"1,600"
14:00;"1,372"
14:15;"1,112"
14:30;"0,812"
14:45;"0,532"
15:00;"0,356"
15:15;"0,316"
15:30;"0,336"
15:45;"0,356"
16:00;"0,332"
16:15;"0,308"
16:30;"0,312"
16:45;"0,300"
17:00;"0,252"
17:15;"0,200"
17:30;"0,192"
17:45;"0,168"
18:00;"0,140"
18:15;"0,088"
18:30;"0,040"
18:45;"0,004"
19:00;"0,000"
19:15;"0,000"
19:30;"0,000"
19:45;"0,000"
20:00;"0,000"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
