 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,012"
06:00;"0,040"
06:15;"0,032"
06:30;"0,048"
06:45;"0,060"
07:00;"0,104"
07:15;"0,136"
07:30;"0,176"
07:45;"0,240"
08:00;"0,328"
08:15;"0,408"
08:30;"0,508"
08:45;"0,592"
09:00;"0,724"
09:15;"0,764"
09:30;"0,940"
09:45;"1,080"
10:00;"1,404"
10:15;"1,704"
10:30;"2,392"
10:45;"2,400"
11:00;"3,560"
11:15;"4,076"
11:30;"3,992"
11:45;"4,040"
12:00;"3,960"
12:15;"3,920"
12:30;"3,828"
12:45;"3,736"
13:00;"3,608"
13:15;"3,456"
13:30;"3,360"
13:45;"3,100"
14:00;"2,988"
14:15;"2,836"
14:30;"2,660"
14:45;"2,448"
15:00;"2,260"
15:15;"2,020"
15:30;"1,720"
15:45;"1,436"
16:00;"1,168"
16:15;"0,928"
16:30;"0,780"
16:45;"0,652"
17:00;"0,552"
17:15;"0,484"
17:30;"0,440"
17:45;"0,416"
18:00;"0,396"
18:15;"0,380"
18:30;"0,356"
18:45;"0,336"
19:00;"0,316"
19:15;"0,288"
19:30;"0,272"
19:45;"0,244"
20:00;"0,212"
20:15;"0,188"
20:30;"0,156"
20:45;"0,124"
21:00;"0,092"
21:15;"0,056"
21:30;"0,036"
21:45;"0,008"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
