 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,000"
07:30;"0,000"
07:45;"0,004"
08:00;"0,060"
08:15;"1,048"
08:30;"1,888"
08:45;"2,336"
09:00;"2,704"
09:15;"3,004"
09:30;"3,208"
09:45;"3,360"
10:00;"3,472"
10:15;"3,568"
10:30;"3,596"
10:45;"3,596"
11:00;"3,612"
11:15;"3,552"
11:30;"3,480"
11:45;"3,400"
12:00;"3,284"
12:15;"3,164"
12:30;"3,032"
12:45;"2,884"
13:00;"2,712"
13:15;"2,576"
13:30;"2,520"
13:45;"2,240"
14:00;"2,180"
14:15;"1,504"
14:30;"1,232"
14:45;"1,304"
15:00;"1,180"
15:15;"1,096"
15:30;"0,996"
15:45;"0,892"
16:00;"0,832"
16:15;"0,804"
16:30;"0,748"
16:45;"0,660"
17:00;"0,596"
17:15;"0,520"
17:30;"0,428"
17:45;"0,320"
18:00;"0,252"
18:15;"0,176"
18:30;"0,064"
18:45;"0,024"
19:00;"0,000"
19:15;"0,000"
19:30;"0,000"
19:45;"0,000"
20:00;"0,000"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
