 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,000"
07:30;"0,000"
07:45;"0,000"
08:00;"0,060"
08:15;"0,156"
08:30;"0,152"
08:45;"0,160"
09:00;"0,248"
09:15;"0,220"
09:30;"0,232"
09:45;"0,204"
10:00;"0,300"
10:15;"0,420"
10:30;"0,364"
10:45;"0,316"
11:00;"0,272"
11:15;"0,256"
11:30;"0,236"
11:45;"0,240"
12:00;"0,332"
12:15;"0,356"
12:30;"0,352"
12:45;"0,300"
13:00;"0,312"
13:15;"0,352"
13:30;"0,400"
13:45;"0,416"
14:00;"0,508"
14:15;"0,604"
14:30;"0,600"
14:45;"1,564"
15:00;"1,652"
15:15;"1,520"
15:30;"1,412"
15:45;"1,352"
16:00;"0,892"
16:15;"0,584"
16:30;"1,192"
16:45;"1,356"
17:00;"1,040"
17:15;"0,940"
17:30;"1,216"
17:45;"1,336"
18:00;"1,184"
18:15;"0,836"
18:30;"0,764"
18:45;"0,648"
19:00;"0,608"
19:15;"0,356"
19:30;"0,332"
19:45;"0,220"
20:00;"0,236"
20:15;"0,100"
20:30;"0,112"
20:45;"0,136"
21:00;"0,068"
21:15;"0,012"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
