 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,016"
06:45;"0,108"
07:00;"0,212"
07:15;"0,280"
07:30;"1,164"
07:45;"1,944"
08:00;"2,440"
08:15;"2,712"
08:30;"3,020"
08:45;"3,388"
09:00;"3,500"
09:15;"3,656"
09:30;"3,836"
09:45;"3,912"
10:00;"4,028"
10:15;"4,136"
10:30;"4,072"
10:45;"4,016"
11:00;"4,336"
11:15;"4,296"
11:30;"3,852"
11:45;"4,320"
12:00;"3,944"
12:15;"3,988"
12:30;"3,548"
12:45;"3,040"
13:00;"3,692"
13:15;"3,744"
13:30;"3,556"
13:45;"3,324"
14:00;"2,876"
14:15;"1,792"
14:30;"2,772"
14:45;"2,140"
15:00;"1,988"
15:15;"1,900"
15:30;"1,260"
15:45;"1,656"
16:00;"1,084"
16:15;"0,956"
16:30;"0,176"
16:45;"0,020"
17:00;"0,000"
17:15;"0,016"
17:30;"0,080"
17:45;"0,752"
18:00;"0,980"
18:15;"0,712"
18:30;"0,368"
18:45;"0,396"
19:00;"0,400"
19:15;"0,504"
19:30;"0,324"
19:45;"0,192"
20:00;"0,120"
20:15;"0,060"
20:30;"0,032"
20:45;"0,012"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
