 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,004"
06:15;"0,060"
06:30;"0,180"
06:45;"0,428"
07:00;"1,056"
07:15;"1,972"
07:30;"2,656"
07:45;"3,000"
08:00;"2,116"
08:15;"3,136"
08:30;"3,584"
08:45;"4,140"
09:00;"4,200"
09:15;"4,280"
09:30;"4,384"
09:45;"4,420"
10:00;"4,508"
10:15;"4,608"
10:30;"4,624"
10:45;"4,456"
11:00;"4,764"
11:15;"4,076"
11:30;"3,052"
11:45;"2,256"
12:00;"2,368"
12:15;"2,144"
12:30;"3,552"
12:45;"3,732"
13:00;"2,908"
13:15;"3,216"
13:30;"2,564"
13:45;"1,712"
14:00;"2,024"
14:15;"1,816"
14:30;"1,644"
14:45;"1,364"
15:00;"1,640"
15:15;"1,556"
15:30;"1,372"
15:45;"0,976"
16:00;"1,280"
16:15;"1,400"
16:30;"1,260"
16:45;"1,212"
17:00;"1,024"
17:15;"1,136"
17:30;"1,052"
17:45;"0,952"
18:00;"0,776"
18:15;"0,740"
18:30;"0,688"
18:45;"0,648"
19:00;"0,556"
19:15;"0,472"
19:30;"0,432"
19:45;"0,360"
20:00;"0,204"
20:15;"0,212"
20:30;"0,108"
20:45;"0,072"
21:00;"0,040"
21:15;"0,024"
21:30;"0,016"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
