 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,000"
07:30;"0,000"
07:45;"0,000"
08:00;"0,072"
08:15;"0,152"
08:30;"0,352"
08:45;"0,588"
09:00;"1,444"
09:15;"3,152"
09:30;"3,172"
09:45;"3,416"
10:00;"2,796"
10:15;"0,804"
10:30;"2,672"
10:45;"2,744"
11:00;"1,660"
11:15;"1,168"
11:30;"2,944"
11:45;"2,192"
12:00;"1,496"
12:15;"3,156"
12:30;"1,292"
12:45;"1,492"
13:00;"0,652"
13:15;"1,044"
13:30;"0,752"
13:45;"0,756"
14:00;"0,972"
14:15;"1,044"
14:30;"0,624"
14:45;"0,844"
15:00;"0,872"
15:15;"0,484"
15:30;"0,264"
15:45;"0,116"
16:00;"0,048"
16:15;"0,120"
16:30;"0,124"
16:45;"0,152"
17:00;"0,296"
17:15;"0,148"
17:30;"0,132"
17:45;"0,084"
18:00;"0,024"
18:15;"0,000"
18:30;"0,000"
18:45;"0,000"
19:00;"0,000"
19:15;"0,000"
19:30;"0,000"
19:45;"0,000"
20:00;"0,000"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
