 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,004"
06:15;"0,044"
06:30;"0,088"
06:45;"0,180"
07:00;"1,064"
07:15;"1,896"
07:30;"2,380"
07:45;"2,732"
08:00;"3,016"
08:15;"3,260"
08:30;"3,448"
08:45;"3,620"
09:00;"3,756"
09:15;"3,892"
09:30;"4,020"
09:45;"4,120"
10:00;"4,216"
10:15;"4,260"
10:30;"4,300"
10:45;"4,304"
11:00;"4,292"
11:15;"4,276"
11:30;"4,236"
11:45;"4,188"
12:00;"4,120"
12:15;"4,016"
12:30;"3,920"
12:45;"3,796"
13:00;"3,644"
13:15;"3,492"
13:30;"3,368"
13:45;"3,208"
14:00;"3,028"
14:15;"2,828"
14:30;"2,620"
14:45;"2,396"
15:00;"2,180"
15:15;"1,896"
15:30;"1,564"
15:45;"1,280"
16:00;"0,988"
16:15;"0,716"
16:30;"0,520"
16:45;"0,420"
17:00;"0,344"
17:15;"0,288"
17:30;"0,284"
17:45;"0,280"
18:00;"0,272"
18:15;"0,264"
18:30;"0,260"
18:45;"0,248"
19:00;"0,240"
19:15;"0,224"
19:30;"0,212"
19:45;"0,188"
20:00;"0,168"
20:15;"0,136"
20:30;"0,112"
20:45;"0,080"
21:00;"0,052"
21:15;"0,032"
21:30;"0,004"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
