 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,000"
07:30;"0,000"
07:45;"0,012"
08:00;"0,032"
08:15;"0,076"
08:30;"0,228"
08:45;"0,364"
09:00;"0,396"
09:15;"0,492"
09:30;"0,488"
09:45;"0,380"
10:00;"0,848"
10:15;"1,152"
10:30;"1,552"
10:45;"1,688"
11:00;"1,584"
11:15;"2,644"
11:30;"2,980"
11:45;"2,432"
12:00;"1,992"
12:15;"1,244"
12:30;"2,752"
12:45;"2,012"
13:00;"2,432"
13:15;"2,444"
13:30;"2,700"
13:45;"2,476"
14:00;"2,380"
14:15;"2,276"
14:30;"2,052"
14:45;"1,572"
15:00;"1,528"
15:15;"1,248"
15:30;"1,016"
15:45;"0,776"
16:00;"0,700"
16:15;"0,608"
16:30;"0,540"
16:45;"0,500"
17:00;"0,500"
17:15;"0,488"
17:30;"0,496"
17:45;"0,516"
18:00;"0,504"
18:15;"0,616"
18:30;"0,420"
18:45;"0,308"
19:00;"0,208"
19:15;"0,152"
19:30;"0,112"
19:45;"0,068"
20:00;"0,024"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
