 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,032"
06:15;"0,116"
06:30;"0,240"
06:45;"0,392"
07:00;"0,548"
07:15;"0,896"
07:30;"0,520"
07:45;"0,212"
08:00;"0,312"
08:15;"0,508"
08:30;"0,544"
08:45;"0,808"
09:00;"1,148"
09:15;"3,428"
09:30;"3,036"
09:45;"3,788"
10:00;"1,412"
10:15;"1,420"
10:30;"2,916"
10:45;"0,736"
11:00;"0,276"
11:15;"0,216"
11:30;"0,552"
11:45;"0,560"
12:00;"0,564"
12:15;"1,232"
12:30;"1,232"
12:45;"1,512"
13:00;"1,908"
13:15;"1,676"
13:30;"1,748"
13:45;"0,688"
14:00;"0,116"
14:15;"0,100"
14:30;"0,500"
14:45;"0,872"
15:00;"1,068"
15:15;"2,648"
15:30;"1,640"
15:45;"1,088"
16:00;"1,112"
16:15;"0,544"
16:30;"1,304"
16:45;"1,292"
17:00;"0,320"
17:15;"0,800"
17:30;"0,412"
17:45;"0,560"
18:00;"0,764"
18:15;"0,656"
18:30;"0,792"
18:45;"0,652"
19:00;"0,576"
19:15;"0,580"
19:30;"0,456"
19:45;"0,320"
20:00;"0,252"
20:15;"0,204"
20:30;"0,184"
20:45;"0,144"
21:00;"0,120"
21:15;"0,056"
21:30;"0,020"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
