 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,016"
06:45;"0,096"
07:00;"0,228"
07:15;"1,000"
07:30;"1,716"
07:45;"2,188"
08:00;"2,428"
08:15;"1,172"
08:30;"2,364"
08:45;"3,212"
09:00;"2,596"
09:15;"2,488"
09:30;"2,780"
09:45;"1,784"
10:00;"1,112"
10:15;"2,244"
10:30;"1,828"
10:45;"4,064"
11:00;"3,284"
11:15;"1,680"
11:30;"2,748"
11:45;"3,312"
12:00;"3,460"
12:15;"2,224"
12:30;"1,208"
12:45;"0,944"
13:00;"2,192"
13:15;"2,664"
13:30;"2,624"
13:45;"1,616"
14:00;"1,524"
14:15;"2,496"
14:30;"1,508"
14:45;"1,640"
15:00;"1,428"
15:15;"1,768"
15:30;"1,340"
15:45;"1,092"
16:00;"1,188"
16:15;"0,928"
16:30;"0,844"
16:45;"0,840"
17:00;"0,740"
17:15;"0,764"
17:30;"0,572"
17:45;"0,620"
18:00;"0,516"
18:15;"0,568"
18:30;"0,372"
18:45;"0,356"
19:00;"0,296"
19:15;"0,304"
19:30;"0,384"
19:45;"0,288"
20:00;"0,184"
20:15;"0,136"
20:30;"0,120"
20:45;"0,044"
21:00;"0,008"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
