 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,024"
07:00;"0,156"
07:15;"0,264"
07:30;"0,248"
07:45;"0,116"
08:00;"0,184"
08:15;"0,480"
08:30;"0,580"
08:45;"1,064"
09:00;"0,768"
09:15;"1,700"
09:30;"3,472"
09:45;"3,016"
10:00;"3,440"
10:15;"3,624"
10:30;"4,104"
10:45;"4,364"
11:00;"4,276"
11:15;"2,740"
11:30;"3,652"
11:45;"2,816"
12:00;"3,660"
12:15;"3,832"
12:30;"3,024"
12:45;"2,988"
13:00;"2,948"
13:15;"3,408"
13:30;"3,412"
13:45;"2,684"
14:00;"2,976"
14:15;"2,460"
14:30;"2,404"
14:45;"2,448"
15:00;"2,104"
15:15;"1,708"
15:30;"1,592"
15:45;"1,332"
16:00;"1,088"
16:15;"1,100"
16:30;"0,876"
16:45;"0,824"
17:00;"0,780"
17:15;"0,812"
17:30;"0,708"
17:45;"0,620"
18:00;"0,548"
18:15;"0,640"
18:30;"0,572"
18:45;"0,604"
19:00;"0,448"
19:15;"0,456"
19:30;"0,388"
19:45;"0,312"
20:00;"0,188"
20:15;"0,116"
20:30;"0,088"
20:45;"0,028"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
